06-05-500-0342658,BNA0335,Uniper Kraftwerke GmbH ,Scholven,Nordrhein-Westfalen,1979,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,Nein,676.0
06-10-00101003,BNA0820,Saar GmbH,Weiher,Saarland,1976,in Betrieb,Steinkohle,ja,655.6
06-05-300-0326774,BNA0707,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1974,in Betrieb,Braunkohle,Nein,648.0
14-70-46630660001,BNA1404,Vattenfall Europe Generation AG,Boxberg,Sachsen,2012,in Betrieb,Braunkohle,Nein,640.0
06-05-300-0877384,BNA1028,RWE Power AG,Weisweiler,Nordrhein-Westfalen,1975,in Betrieb,Braunkohle,Ja,636.0
06-05-300-0877384,BNA1027,RWE Power AG,Weisweiler,Nordrhein-Westfalen,1974,in Betrieb,Braunkohle,Ja,636.0
06-05-300-0326774,BNA0709,RWE Power AG,Niederaußem,Nordrhein-Westfalen,2002,in Betrieb,Braunkohle,Nein,632.0
06-05-300-0326774,BNA0708,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1974,in Betrieb,Braunkohle,Ja,628.0
,BNA0374,Uniper Kraftwerke GmbH ,Staudinger,Hessen,1977,Gesetzlich an Stilllegung gehindert,Erdgas,Nein,622.0
06-05-900-0865327,BNA1046a,RWE Generation SE,Gersteinwerk,Nordrhein-Westfalen,1984,in Betrieb,Steinkohle,Nein,620.0
06-05-100-0248923,BNA0699,RWE Power AG,Neurath,Nordrhein-Westfalen,1975,in Betrieb,Braunkohle,Ja,607.0
06-05-100-0248923,BNA0700,RWE Power AG,Neurath,Nordrhein-Westfalen,1976,in Betrieb,Braunkohle,Ja,604.0
,BNA1817,Stadtwerke Düsseldorf AG,GuD,Nordrhein-Westfalen,2016,in Betrieb,Erdgas,Ja,595.0
,BNA0199,RWE Generation SE,Dormagen,Nordrhein-Westfalen,2000,in Betrieb,Erdgas,Ja,586.3
,BNA0995,Uniper Kraftwerke GmbH ,"Ulrich Hartmann
(Irsching)",Bayern,2011,Gesetzlich an Stilllegung gehindert,Erdgas,Nein,545.0
13-30-1010101,BNA0849,EnBW Energie Baden-Württemberg AG,KNG Kraftwerk Rostock,Mecklenburg-Vorpommern,1994,in Betrieb,Steinkohle,Ja,514.0
06-00176010435,BNA0377,Uniper Kraftwerke GmbH ,Staudinger,Hessen,1992,in Betrieb,Steinkohle,Ja,510.0
06-08-2797933,BNA0518a,EnBW Energie Baden-Württemberg AG,Rheinhafen-Dampfkraftwerk,Baden-Württemberg,1985,in Betrieb,Steinkohle,Ja,505.0
,BNA0614b,BASF SE,Kraftwerk Mitte,Rheinland-Pfalz,2005,in Betrieb,Erdgas,Ja,490.0
06-09-100-0003-0003,BNA1093,ENGIE Deutschland AG,Zolling,Bayern,1986,in Betrieb,Steinkohle,Ja,472.0
